compustat_name,common_name
ABBVIE INC,Abbvie
ALLSTATE CORP,Allstate
ALPHABET INC,Alphabet
ALPHABET INC,Google
AMAZON.COM INC,Amazon
AMERICAN AIRLINES GROUP INC,American Airlines
AMERICAN EXPRESS CO,American Express
AMERICAN INTERNATIONAL GROUP,AIG
AMERICAN INTERNATIONAL GROUP,American International Group
AMERISOURCEBERGEN CORP,Amerisourcebergen
ANTHEM INC,Anthem
ARCHER-DANIELS-MIDLAND CO,Archer Daniels Midland
ARCHER-DANIELS-MIDLAND CO,ADM
AT&T INC,AT+T
BANK OF AMERICA CORP,Bank of America
BEST BUY CO INC,Best Buy
BOEING CO,Boeing
CAPITAL ONE FINANCIAL CORP,Capital One
CARDINAL HEALTH INC,Cardinal Health
CaterpillarInc,Caterpillar
CENTENE CORP,Centene
CHARTER COMMUNICATIONS INC,Charter
CHEVRON CORP,Chevron
CIGNA CORP,Cigna
CISCO SYSTEMS INC,Cisco
CITIGROUP INC,Citigroup
CITIGROUP INC,Citibank
CITIGROUP INC,Citi
COCA-COLA CO,Coca Cola
COMCAST CORP,Comcast
CONOCOPHILLIPS,Conoco
COSTCO WHOLESALE CORP,Costco
CVS HEALTH CORP,CVS
DEERE & CO,Deere
DELL TECHNOLOGIES INC,Dell
DELTA AIR LINES INC,Delta
DISNEY (WALT) CO,Walt Disney
DOW INC,Dow
EXELON CORP,Exelon
EXXON MOBIL CORP,Exxon Mobil
FACEBOOK INC,Facebook
FEDERAL HOME LOAN MORTG CORP,Freddie Mac
FEDERAL NATIONAL MORTGA ASSN,Fannie Mae
FORD MOTOR CO,Ford
GENERAL DYNAMICS CORP,General Dynamics
GENERAL ELECTRIC CO,General Electric
GENERAL MOTORS CO,General Motors
GOLDMAN SACHS GROUP INC,Goldman Sachs
HCA HEALTHCARE INC,HCA Healthcare
HELMERICH & PAYNE,Helmerich
HOME DEPOT INC,Home Depot
HONEYWELL INTERNATIONAL INC,Honeywell
HUMANA INC,Humana
INTEL CORP,Intel
INTL BUSINESS MACHINES CORP,IBM
INTL BUSINESS MACHINES CORP,International Business Machines
JOHNSON & JOHNSON,Johnson and Johnson
JOHNSON & JOHNSON,Johnson+Johnson
JPMORGAN CHASE & CO,JPMorgan
JPMORGAN CHASE & CO,Chase
JPMORGAN CHASE & CO,JPMorgan Chase
KROGER CO,Kroger
LOCKHEED MARTIN CORP,Lockheed Martin
LOWE'S COS INC,Lowes
LOWE'S COS INC,Lowe's
MARATHON PETROLEUM CORP,Marathon
MCKESSON CORP,McKesson
MERCK & CO,Merck
METLIFE INC,Metlife
MICROSOFT CORP,Microsoft
MORGAN STANLEY,Morgan Stanley
NORTHROP GRUMMAN CORP,Northrop Grumman
PEPSICO INC,Pepsico
PEPSICO INC,Pepsi
PFIZER INC,Pfizer
PHILLIPS 66,Phillips 66
PROCTER AND GAMBLE CO,Procter and Gamble
PROCTER AND GAMBLE CO,Procter+Gamble
PROGRESSIVE CORP-OHIO,Progressive
PRUDENTIAL FINANCIAL INC,Prudential
RAYTHEON CO,Raytheon
SYSCO CORP,Sysco
TARGET CORP,Target
TECH DATA CORP,Tech Data
TJX COS INC (THE),TJX
TYSON FOODS INC  -CL A,Tyson Foods
UNITED AIRLINES HOLDINGS INC,United Airlines
UNITED PARCEL SERVICE INC,UPS
UNITED PARCEL SERVICE INC,United Parcel Service
UNITEDHEALTH GROUP INC,UnitedHealth Group
VALERO ENERGY CORP,Valero
VERIZON COMMUNICATIONS INC,Verizon
WALGREENS BOOTS ALLIANCE INC,Walgreens
WALMART INC,Walmart
WELLS FARGO & CO,Wells Fargo